Unnamed: 0,image_filename,realative_coordinates,label,fold
0,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-01-05.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
1,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-01-08.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
2,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-01-10.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
3,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-01-13.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
4,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-01-15.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
5,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-01-18.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
6,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-01-25.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
7,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-01-28.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
8,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-01-30.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
9,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-02-04.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
10,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-02-07.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
11,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-02-09.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
12,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-02-14.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
13,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-02-17.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
14,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-02-19.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
15,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-02-22.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
16,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-02-24.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
17,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-02-27.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
18,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-03-01.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
19,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-03-04.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
20,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-03-06.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
21,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-03-09.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
22,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-03-14.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
23,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-03-16.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
24,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-03-19.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
25,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-03-21.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
26,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-03-24.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
27,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-04-03.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
28,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-04-08.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
29,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-04-10.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
30,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-04-13.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
31,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-04-15.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
32,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-04-18.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
33,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-04-20.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
34,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-04-28.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
35,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-05-03.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
36,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-05-08.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",incorrect,2
37,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-05-10.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
38,./data/predictors_data generating predictor 004.train.dir/image_0002_sentinel-map-time-test-dir__2019-05-13.png,"[0.32046222222197684, 0.05198950726662588, 0.6752213333329564, 0.7666159959499055]",correct,2
